cue,tar,corrAns,targOrientation,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,pracText1.started,pracText1.stopped,practInst2.started,practInst2.stopped,fixFuration,image.started,image.stopped,cues.started,cues.stopped,target.started,target.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationshort.started,fixationshort.stopped,text.started,text.stopped,mainInst.started,mainInst.stopped,instResp.keys,instResp.rt,instResp.started,instResp.stopped,rest.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim/blank.png,stim/incongLeft.png,left,0,0,0,0,19,,,,,,,,,26.313205000013113,None,29.00653549999697,None,0.5,31.71160370000871,None,32.2442629999714,32.35255369998049,32.735874800011516,None,left,1,0.6380987000302412,32.735874800011516,None,32.2442629999714,32.75228720001178,33.453983500017785,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/both.png,stim/congRight.png,right,0,0,1,1,9,,,,,,,,,,,,,0.4,34.46779999998398,None,34.88901689997874,35.00052040000446,35.38371299998835,None,right,1,0.5372250999789685,35.38371299998835,None,34.88901689997874,35.400098800018895,35.969936300010886,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/lower.png,stim/congLeft.png,right,180,0,2,2,4,,,,,,,,,,,,,0.4,36.982351000013296,None,37.405175400024746,37.515075300005265,37.89834289997816,None,right,1,0.5825437000021338,37.89834289997816,None,37.405175400024746,37.91513360000681,38.5214954999974,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/congLeft.png,right,180,0,3,3,6,,,,,,,,,,,,,0.5,39.53044920001412,None,40.05240169999888,40.16288359998725,40.54646609997144,None,right,1,0.5028970999992453,40.54646609997144,None,40.05240169999888,40.56266910000704,41.09549209999386,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/congLeft.png,left,0,0,4,4,2,,,,,,,,,,,,,0.45,42.09491909999633,None,42.54650409996975,42.661125499987975,43.04412540001795,None,left,1,0.4439165000221692,43.04412540001795,None,42.54650409996975,43.06091830000514,43.532840900006704,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/incongLeft.png,right,180,0,5,5,22,,,,,,,,,,,,,0.4,44.54271900001913,None,44.94221629999811,45.042250900005456,45.425741099985316,None,right,1,0.6031600999995135,45.425741099985316,None,44.94221629999811,45.44198290002532,46.06107419996988,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/congRight.png,right,0,0,6,6,11,,,,,,,,,,,,,0.4,47.07408769999165,None,47.47806669998681,47.59047340002144,47.973478199972305,None,right,1,0.5768315000459552,47.973478199972305,None,47.47806669998681,47.990197899984196,48.575036700000055,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/incongLeft.png,right,180,0,7,7,23,,,,,,,,,,,,,0.4,49.588651500002015,None,49.990547300025355,50.10499899997376,50.48804259998724,None,right,1,0.8710870999493636,50.48804259998724,None,49.990547300025355,50.50449680001475,51.40875030000461,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/congRight.png,left,180,0,8,8,14,,,,,,,,,,,,,0.45,52.41987270000391,None,52.87398839998059,52.985920700011775,53.36868830001913,None,left,1,0.4955925999674946,53.36868830001913,None,52.87398839998059,53.38543640001444,53.90160029998515,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/congLeft.png,right,180,0,9,9,7,,,,,,,,,,,,,0.55,54.901119599991944,None,55.45455969998147,55.567053199978545,55.95053899998311,None,right,1,0.54268959996989,55.95053899998311,None,55.45455969998147,55.967032800021116,56.53256830002647,None,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
